CoronaDataObject{Province_State='Alabama', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=365747.0, Deaths=4872.0, Recovered=202137.0, Active=158738.0, Total_Test_Results=3275341.0}
CoronaDataObject{Province_State='Alaska', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=47019.0, Deaths=206.0, Recovered=7165.0, Active=39615.0, Total_Test_Results=1275750.0}
CoronaDataObject{Province_State='American Samoa', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=0.0, Deaths=0.0, Recovered=0.0, Active=0.0, Total_Test_Results=2140.0}
CoronaDataObject{Province_State='Arizona', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=530267.0, Deaths=9015.0, Recovered=76934.0, Active=444318.0, Total_Test_Results=5155330.0}
CoronaDataObject{Province_State='Arkansas', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=229442.0, Deaths=3711.0, Recovered=199247.0, Active=26484.0, Total_Test_Results=2051488.0}
CoronaDataObject{Province_State='California', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=2436825.0, Deaths=26159.0, Recovered=0.0, Active=2323708.0, Total_Test_Results=3.3058312E7}
CoronaDataObject{Province_State='Colorado', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=337161.0, Deaths=4873.0, Recovered=18102.0, Active=314186.0, Total_Test_Results=4444206.0}
CoronaDataObject{Province_State='Connecticut', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=185708.0, Deaths=5995.0, Recovered=9800.0, Active=169913.0, Total_Test_Results=4320693.0}
CoronaDataObject{Province_State='Delaware', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=58064.0, Deaths=1065.0, Recovered=18851.0, Active=38283.0, Total_Test_Results=984606.0}
CoronaDataObject{Province_State='Diamond Princess', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=49.0, Deaths=0.0, Recovered=0.0, Active=49.0, Total_Test_Results=0.0}
CoronaDataObject{Province_State='District of Columbia', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=29252.0, Deaths=788.0, Recovered=20941.0, Active=7523.0, Total_Test_Results=904302.0}
CoronaDataObject{Province_State='Florida', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=1323315.0, Deaths=21673.0, Recovered=0.0, Active=1301642.0, Total_Test_Results=1.7392558E7}
CoronaDataObject{Province_State='Georgia', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=677589.0, Deaths=10958.0, Recovered=0.0, Active=666631.0, Total_Test_Results=5401054.0}
